left_elbow_angle,right_elbow_angle,left_elbow_z,right_elbow_z,right_hand_z,left_hand_z
163.8315709318774,170.19804566685346,-0.21349431946873657,-0.20005165264010427,-0.5140491053462029,-0.5619760081171989
164.48540255108443,169.83877778718207,-0.21250313669443124,-0.19278421849012364,-0.5117079734802246,-0.5322820976376533
164.61231508155072,169.9904243751788,-0.20380726903676982,-0.19721923917531967,-0.4963446319103241,-0.5476172670722007
165.38581707400874,170.09690724625116,-0.20239828526973722,-0.18547786772251124,-0.49352529346942897,-0.528739708662033
165.48705031225137,170.04067437747977,-0.19085101708769794,-0.19078720137476912,-0.47777059227228164,-0.5382023587822914
166.00126330674317,170.83197347597937,-0.2042689561843871,-0.18873291462659825,-0.4939351603388785,-0.5250136181712151
165.1793515358732,171.17411040880268,-0.2054551504552364,-0.1895177587866783,-0.49709150195121754,-0.5250971749424934
164.3741151028272,171.75213246271127,-0.1956986807286739,-0.18995115384459493,-0.48898502141237254,-0.5289609387516975
163.07534153589955,172.42656123188536,-0.19504503235220907,-0.19252931550145147,-0.4860940873622894,-0.5312319830060004
163.37360090314354,172.69127091797583,-0.19505063593387592,-0.2027236871421336,-0.4859835237264633,-0.542661952972412
163.06585579533214,173.01880534510263,-0.1942571036517619,-0.21709543466567982,-0.4858601078391075,-0.561031487584114
163.25932074557073,173.62888689461298,-0.20181244537234302,-0.2221368074417114,-0.49344968795776356,-0.5763055831193924
162.37372815108864,173.8602837939416,-0.20223758071660994,-0.22429948151111595,-0.49337620735168447,-0.5761591017246246
161.54067693088334,174.06902489349005,-0.18618446737527844,-0.24794292896986006,-0.48454976081848133,-0.6059692651033401
161.17105233542358,174.0766904497772,-0.1903584845364093,-0.22271361649036403,-0.49206352978944773,-0.5639261916279792
161.6702088886479,174.08734714005402,-0.191796514391899,-0.2143628746271133,-0.4920304223895073,-0.5626799002289772
161.78306475969003,174.31471151304706,-0.2070047549903392,-0.2150254510343074,-0.4999695494771003,-0.5634785905480384
161.67964383337474,174.4645095917073,-0.20924339443445197,-0.2059611350297927,-0.5047146692872047,-0.5516628816723822
161.84251974757083,174.66401918945263,-0.20965745970606792,-0.20317747443914405,-0.5043827727437018,-0.5370075792074203
161.9202946332274,174.95982676281218,-0.2095977567136287,-0.20736861079931254,-0.5036334350705146,-0.5396189168095588
161.89187548746898,175.1607035784023,-0.20906838104128828,-0.20313148051500313,-0.5030025437474249,-0.5313754141330718
162.16259488366336,175.1756127959828,-0.20094269067049025,-0.20558317601680748,-0.49454086124897,-0.5352739304304123
162.36747274265306,175.14358814362828,-0.20287717729806892,-0.21019062250852577,-0.49490350037813186,-0.5356639534234999
162.46028521088084,175.04591709351484,-0.2010875441133975,-0.20923400372266765,-0.4937912493944167,-0.5376856297254561
162.91626557941578,174.99271005874564,-0.20336679667234409,-0.20786307975649831,-0.49394609332084644,-0.5349225670099257
163.04064498211227,175.20319361608966,-0.20423908755183218,-0.22222619056701656,-0.49517685920000065,-0.553513365983963
163.28248890333077,175.37086863470017,-0.20466984361410134,-0.20747369080781936,-0.4953124418854713,-0.5227357536554336
163.86333521366535,175.39694743121842,-0.2042028442025184,-0.20752573385834688,-0.4953426703810691,-0.5243142157793045
165.1371805159803,175.2866411602592,-0.20953303277492516,-0.19099184349179257,-0.49765751510858525,-0.5229195579886436
165.8877189614514,175.38280427732244,-0.20934787467122074,-0.19665649905800814,-0.4976415440440178,-0.545702590048313
166.19241914480534,175.47849044716065,-0.21099130064249036,-0.19431353360414502,-0.5030423000454902,-0.5415602236986159
166.57341533403604,175.4952354373102,-0.20791113004088393,-0.18117380291223514,-0.49949147999286647,-0.512618426978588
167.16100726194142,175.44010338568313,-0.20788146704435348,-0.17652348130941384,-0.4989904478192329,-0.5024922922253607
